<IPython.core.display.HTML object>

X shape: (6701, 64, 64, 3)

Y shape: (6701,)

Using cuda device
2 Layer Model | loss_sqrt: 0.833485 | [    1/  200]
2 Layer Model | loss_sqrt: 0.473684 | [    2/  200]
2 Layer Model | loss_sqrt: 0.796176 | [    3/  200]
2 Layer Model | loss_sqrt: 0.608266 | [    4/  200]
2 Layer Model | loss_sqrt: 0.340080 | [    5/  200]
2 Layer Model | loss_sqrt: 0.295802 | [    6/  200]
2 Layer Model | loss_sqrt: 0.411695 | [    7/  200]
2 Layer Model | loss_sqrt: 0.535414 | [    8/  200]
2 Layer Model | loss_sqrt: 0.497580 | [    9/  200]
2 Layer Model | loss_sqrt: 0.376109 | [   10/  200]
2 Layer Model | loss_sqrt: 0.301485 | [   11/  200]
2 Layer Model | loss_sqrt: 0.293158 | [   12/  200]
2 Layer Model | loss_sqrt: 0.326400 | [   13/  200]
2 Layer Model | loss_sqrt: 0.391446 | [   14/  200]
2 Layer Model | loss_sqrt: 0.416197 | [   15/  200]
2 Layer Model | loss_sqrt: 0.374069 | [   16/  200]
2 Layer Model | loss_sqrt: 0.318290 | [   17/  200]
2 Layer Model | loss_sqrt: 0.293811 | [   18/  200]
2 Layer Model | loss_sqrt: 0.291084 | [   19/  200]
2 Layer Model | loss_sqrt: 0.300701 | [   20/  200]
2 Layer Model | loss_sqrt: 0.320456 | [   21/  200]
2 Layer Model | loss_sqrt: 0.337593 | [   22/  200]
2 Layer Model | loss_sqrt: 0.337623 | [   23/  200]
2 Layer Model | loss_sqrt: 0.321422 | [   24/  200]
2 Layer Model | loss_sqrt: 0.302830 | [   25/  200]
2 Layer Model | loss_sqrt: 0.292095 | [   26/  200]
2 Layer Model | loss_sqrt: 0.288637 | [   27/  200]
2 Layer Model | loss_sqrt: 0.288704 | [   28/  200]
2 Layer Model | loss_sqrt: 0.291223 | [   29/  200]
2 Layer Model | loss_sqrt: 0.296102 | [   30/  200]
2 Layer Model | loss_sqrt: 0.301510 | [   31/  200]
2 Layer Model | loss_sqrt: 0.304186 | [   32/  200]
2 Layer Model | loss_sqrt: 0.302367 | [   33/  200]
2 Layer Model | loss_sqrt: 0.297635 | [   34/  200]
2 Layer Model | loss_sqrt: 0.292884 | [   35/  200]
2 Layer Model | loss_sqrt: 0.289760 | [   36/  200]
2 Layer Model | loss_sqrt: 0.288331 | [   37/  200]
2 Layer Model | loss_sqrt: 0.288070 | [   38/  200]
2 Layer Model | loss_sqrt: 0.288408 | [   39/  200]
2 Layer Model | loss_sqrt: 0.289103 | [   40/  200]
2 Layer Model | loss_sqrt: 0.290046 | [   41/  200]
2 Layer Model | loss_sqrt: 0.291064 | [   42/  200]
2 Layer Model | loss_sqrt: 0.291849 | [   43/  200]
2 Layer Model | loss_sqrt: 0.292128 | [   44/  200]
2 Layer Model | loss_sqrt: 0.291825 | [   45/  200]
2 Layer Model | loss_sqrt: 0.291114 | [   46/  200]
2 Layer Model | loss_sqrt: 0.290264 | [   47/  200]
2 Layer Model | loss_sqrt: 0.289501 | [   48/  200]
2 Layer Model | loss_sqrt: 0.288915 | [   49/  200]
2 Layer Model | loss_sqrt: 0.288504 | [   50/  200]
2 Layer Model | loss_sqrt: 0.288237 | [   51/  200]
2 Layer Model | loss_sqrt: 0.288089 | [   52/  200]
2 Layer Model | loss_sqrt: 0.288060 | [   53/  200]
2 Layer Model | loss_sqrt: 0.288131 | [   54/  200]
2 Layer Model | loss_sqrt: 0.288278 | [   55/  200]
2 Layer Model | loss_sqrt: 0.288472 | [   56/  200]
2 Layer Model | loss_sqrt: 0.288647 | [   57/  200]
2 Layer Model | loss_sqrt: 0.288744 | [   58/  200]
2 Layer Model | loss_sqrt: 0.288733 | [   59/  200]
2 Layer Model | loss_sqrt: 0.288624 | [   60/  200]
2 Layer Model | loss_sqrt: 0.288451 | [   61/  200]
2 Layer Model | loss_sqrt: 0.288265 | [   62/  200]
2 Layer Model | loss_sqrt: 0.288108 | [   63/  200]
2 Layer Model | loss_sqrt: 0.287998 | [   64/  200]
2 Layer Model | loss_sqrt: 0.287928 | [   65/  200]
2 Layer Model | loss_sqrt: 0.287893 | [   66/  200]
2 Layer Model | loss_sqrt: 0.287885 | [   67/  200]
2 Layer Model | loss_sqrt: 0.287895 | [   68/  200]
2 Layer Model | loss_sqrt: 0.287914 | [   69/  200]
2 Layer Model | loss_sqrt: 0.287934 | [   70/  200]
2 Layer Model | loss_sqrt: 0.287947 | [   71/  200]
2 Layer Model | loss_sqrt: 0.287953 | [   72/  200]
2 Layer Model | loss_sqrt: 0.287949 | [   73/  200]
2 Layer Model | loss_sqrt: 0.287934 | [   74/  200]
2 Layer Model | loss_sqrt: 0.287911 | [   75/  200]
2 Layer Model | loss_sqrt: 0.287881 | [   76/  200]
2 Layer Model | loss_sqrt: 0.287848 | [   77/  200]
2 Layer Model | loss_sqrt: 0.287816 | [   78/  200]
2 Layer Model | loss_sqrt: 0.287785 | [   79/  200]
2 Layer Model | loss_sqrt: 0.287759 | [   80/  200]
2 Layer Model | loss_sqrt: 0.287741 | [   81/  200]
2 Layer Model | loss_sqrt: 0.287730 | [   82/  200]
2 Layer Model | loss_sqrt: 0.287725 | [   83/  200]
2 Layer Model | loss_sqrt: 0.287725 | [   84/  200]
2 Layer Model | loss_sqrt: 0.287729 | [   85/  200]
2 Layer Model | loss_sqrt: 0.287733 | [   86/  200]
2 Layer Model | loss_sqrt: 0.287735 | [   87/  200]
2 Layer Model | loss_sqrt: 0.287735 | [   88/  200]
2 Layer Model | loss_sqrt: 0.287733 | [   89/  200]
2 Layer Model | loss_sqrt: 0.287727 | [   90/  200]
2 Layer Model | loss_sqrt: 0.287720 | [   91/  200]
2 Layer Model | loss_sqrt: 0.287711 | [   92/  200]
2 Layer Model | loss_sqrt: 0.287702 | [   93/  200]
2 Layer Model | loss_sqrt: 0.287694 | [   94/  200]
2 Layer Model | loss_sqrt: 0.287687 | [   95/  200]
2 Layer Model | loss_sqrt: 0.287682 | [   96/  200]
2 Layer Model | loss_sqrt: 0.287678 | [   97/  200]
2 Layer Model | loss_sqrt: 0.287676 | [   98/  200]
